FISCAL YEAR,COUNTY NUMBER,County,PUBLIC SAFETY AND LEGAL SERVICES,PHYSICAL HEALTH SOCIAL SERVICES,"MENTAL HEALTH, ID & DD",COUNTY ENVIRONMENT AND EDUCATION,ROADS & TRANSPORTATION,GOVERNMENT SERVICES TO RESIDENTS,ADMINISTRATION,NONPROGRAM CURRENT,DEBT SERVICE,CAPITAL PROJECTS,SUBTOTAL EXPENDITURES,OPERATING TRANSFERS OUT,REFUNDED DEBT/PAYMENTS TO ESCROW,TOTAL EXPENDITURES & OTHER USES,Primary County Coordinates
2017,15,CASS,2594740,439370,296825,455942,5213051,546384,1377256,268878,222165,2076276,13490887,3431646,0,16922533,POINT (-94.9278266 41.3314876)
2018,15,CASS,2761325,435631,317227,445302,5553178,517294,1418704,194913,213544,4190218,16047336,4169460,0,20216796,POINT (-94.9278266 41.3314876)
2019,15,CASS,2844658,485291,256406,528285,6368298,647125,1398826,66714,361685,719668,13676956,4185783,0,17862739,POINT (-94.9278266 41.3314876)
2020,15,Cass,2924856,438002,371060,540946,5954271,552036,1472797,75210,288816,208658,12826652,4308003,0,17134655,POINT (-94.9278266 41.3314876)
2021,15,Cass,2988227,431187,366848,555757,6808440,605113,1458805,157336,754771,422790,14549274,4422196,0,18971470,POINT (-94.9278266 41.3314876)
2010,16,CEDAR,2791464,1213941,2178078,2452106,5073248,469784,1215590,4320,0,627205,16025736,1716721,0,17742457,POINT (-91.1324125 41.7723207)
2011,16,CEDAR,2864141,1245880,2198912,1511261,4852390,446104,1290737,15307,0,472843,14897575,1903071,0,16800646,POINT (-91.1324125 41.7723207)
2012,16,CEDAR,3030290,1223652,2587730,1365761,4713465,437475,1331406,6602,0,696882,15393263,1942526,0,17335789,POINT (-91.1324125 41.7723207)
2013,16,CEDAR,3162734,1163179,1583187,1255263,5345527,446532,1383450,4678,0,547637,14892187,1859448,0,16751635,POINT (-91.1324125 41.7723207)
2014,16,CEDAR,3341979,1299332,803502,1318633,5319954,468076,1579236,4788,0,83957,14219457,1963800,0,16183257,POINT (-91.1324125 41.7723207)
2015,16,CEDAR,3641786,1246039,1295214,1312207,5733695,507651,1664045,5646,0,765364,16171647,2112610,0,18284257,POINT (-91.1324125 41.7723207)
2016,16,CEDAR,3608342,1343723,1171851,1357441,6114430,497933,1421204,6022,0,534686,16055632,2176019,0,18231651,POINT (-91.1324125 41.7723207)
2017,16,CEDAR,3585000,1227926,1146352,1295003,6257900,494468,1583628,6250,0,578813,16175340,2377017,0,18552357,POINT (-91.1324125 41.7723207)
2018,16,CEDAR,3945253,1261307,607881,1881083,6311814,516753,1697190,6742,0,1418920,17646943,2389249,0,20036192,POINT (-91.1324125 41.7723207)
2019,16,CEDAR,3971328,1165454,580630,1626765,5145353,529992,1680523,6684,0,1151678,15858407,2513302,0,18371709,POINT (-91.1324125 41.7723207)
2020,16,Cedar,4104086,1081635,686961,1632766,7789619,561450,1737776,8317,0,476850,18079460,2666588,0,20746048,POINT (-91.1324125 41.7723207)
2021,16,Cedar,4171658,1479944,434236,2112781,7148142,568486,1941889,7652,0,1759946,19624734,2997377,0,22622111,POINT (-91.1324125 41.7723207)
2010,17,CERRO GORDO,6820260,4656215,5943477,1310320,5471477,970388,2697524,42719,1379120,3022221,32313721,4310798,0,36624519,POINT (-93.2608184 43.081557700000005)
2011,17,CERRO GORDO,7099901,5101317,673885,1181712,4967216,988932,2356119,123,1060945,2628620,26058770,5457450,0,31516220,POINT (-93.2608184 43.081557700000005)
2012,17,CERRO GORDO,7494709,4631205,3793476,1233446,5053393,1052040,2485282,0,10414331,1769643,37927525,5441067,0,43368592,POINT (-93.2608184 43.081557700000005)
2013,17,CERRO GORDO,7574912,4850775,2317383,1106735,4423431,1051946,2580213,0,992257,1850331,26747983,5327612,0,32075595,POINT (-93.2608184 43.081557700000005)
2014,17,CERRO GORDO,7960656,4913795,2062322,1851989,5504864,1077314,2659541,0,991707,978252,28000440,5824612,0,33825052,POINT (-93.2608184 43.081557700000005)
2015,17,CERRO GORDO,8179061,5113643,2561090,1275295,5622014,1453982,2995170,0,1027135,1762502,29989892,5847670,0,35837562,POINT (-93.2608184 43.081557700000005)
2016,17,CERRO GORDO,8400109,5090109,1848841,1249481,5828670,1210518,3048671,338147,1435699,19425,28469670,6241959,0,34711629,POINT (-93.2608184 43.081557700000005)
2017,17,CERRO GORDO,8722194,5006177,2744081,1360423,5669505,1220779,3363700,0,1429923,3632991,33149773,7340290,0,40490063,POINT (-93.2608184 43.081557700000005)
2018,17,CERRO GORDO,8967155,5644940,2326687,1434637,6406603,1239006,3344819,0,999841,1200730,31564418,6920954,0,38485372,POINT (-93.2608184 43.081557700000005)
2019,17,CERRO GORDO,9089547,6111923,2091451,1593856,6922794,1141873,3084089,0,998567,1875561,32909661,8480714,0,41390375,POINT (-93.2608184 43.081557700000005)
2020,17,Cerro Gordo,9351428,5972034,1790623,1999049,7288478,1203120,3230554,0,997494,2045066,33877846,10145905,0,44023751,POINT (-93.2608184 43.081557700000005)
2021,17,Cerro Gordo,9326407,6165448,1311521,1730478,6333747,1177560,3435256,0,996111,3211311,33687839,8563562,4520000,46771401,POINT (-93.2608184 43.081557700000005)
2010,18,CHEROKEE,1544598,319055,1198136,602419,3651632,281700,1192171,0,0,1262107,10051818,1371000,0,11422818,POINT (-95.6238055 42.7356226)
2011,18,CHEROKEE,1640374,319143,1184738,657767,3823078,302566,1567826,0,0,630,9496122,1425000,0,10921122,POINT (-95.6238055 42.7356226)
2012,18,CHEROKEE,1617303,284018,1335916,759378,3430746,400145,1433264,0,0,633753,9894523,1485000,0,11379523,POINT (-95.6238055 42.7356226)
2013,18,CHEROKEE,1903175,288109,697017,1169206,3837890,433804,1436007,0,0,494951,10260159,1485000,0,11745159,POINT (-95.6238055 42.7356226)
2014,18,CHEROKEE,2074715,298695,586182,940680,3741647,540468,1164152,0,0,1470479,10817018,1485000,0,12302018,POINT (-95.6238055 42.7356226)
2015,18,CHEROKEE,2021909,279884,692932,926414,3705141,372411,1201559,0,0,1162274,10362524,2333500,0,12696024,POINT (-95.6238055 42.7356226)
2016,18,CHEROKEE,2013835,331728,538883,950713,3995055,437437,1172148,18519,0,2148546,11606864,2674868,0,14281732,POINT (-95.6238055 42.7356226)
2017,18,CHEROKEE,2081276,324800,458734,997220,4587921,465585,1286657,375658,0,2146668,12724519,1983599,0,14708118,POINT (-95.6238055 42.7356226)
2018,18,CHEROKEE,2328567,347144,460845,999762,4303231,507489,1364704,105152,0,946579,11363473,2000000,0,13363473,POINT (-95.6238055 42.7356226)
2019,18,CHEROKEE,2254460,292811,364084,1069324,6159894,506844,1192110,69150,0,55382,11964059,1942626,0,13906685,POINT (-95.6238055 42.7356226)
2020,18,Cherokee,2279677,307508,439642,1104074,5814058,514826,1335680,256015,0,88945,12140425,2161170,0,14301595,POINT (-95.6238055 42.7356226)
2021,18,Cherokee,2306822,333844,502244,1072084,6488492,566603,1512661,253294,0,3440,13039484,2231247,0,15270731,POINT (-95.6238055 42.7356226)
2010,19,CHICKASAW,1332431,1382440,904429,506538,4362357,406008,1108528,1998,0,326339,10331068,1821335,0,12152403,POINT (-92.3176637 43.06004140000001)
2011,19,CHICKASAW,1412400,1172951,1067673,496537,4304541,328334,1179031,2024,0,308900,10272391,1920000,0,12192391,POINT (-92.3176637 43.06004140000001)
2012,19,CHICKASAW,1423651,1302874,1152806,551771,4363983,343906,1087557,0,0,460746,10687294,2559724,0,13247018,POINT (-92.3176637 43.06004140000001)
2013,19,CHICKASAW,1521578,1387606,885963,534788,4615138,387894,1370160,2013,0,659864,11365004,2234500,0,13599504,POINT (-92.3176637 43.06004140000001)
2014,19,CHICKASAW,1597004,1411041,642907,573654,4799764,371824,1410652,2000,0,284550,11093396,1806194,0,12899590,POINT (-92.3176637 43.06004140000001)
2015,19,CHICKASAW,1945899,1394331,826148,682001,4940611,439313,1457362,2026,0,251419,11939110,1651384,0,13590494,POINT (-92.3176637 43.06004140000001)
2016,19,CHICKASAW,1909363,1456896,745955,688971,5482105,443751,1483497,4179,0,291119,12505836,2052500,0,14558336,POINT (-92.3176637 43.06004140000001)
2017,19,CHICKASAW,2042406,1408162,743804,679005,6002644,421204,1455259,4200,0,378560,13135244,2069500,0,15204744,POINT (-92.3176637 43.06004140000001)
2018,19,CHICKASAW,2018205,1200482,582044,668771,5416207,408032,1474372,6941,0,819672,12594726,1990500,0,14585226,POINT (-92.3176637 43.06004140000001)
2019,19,CHICKASAW,2182196,1392581,537175,673589,6393315,409967,1477843,0,0,1308492,14375158,1720000,0,16095158,POINT (-92.3176637 43.06004140000001)
2020,19,Chickasaw,2422813,1446097,450649,642192,6330810,441621,1569202,0,518452,1253321,15075157,2137610,0,17212767,POINT (-92.3176637 43.06004140000001)
2021,19,Chickasaw,2409547,1403710,359452,629522,6053765,445902,1568147,6398,515885,3338702,16731030,1888863,0,18619893,POINT (-92.3176637 43.06004140000001)
2010,20,CLARKE,1731146,1023539,1023704,253306,2470316,358766,812181,0,306725,62606,8042289,737500,0,8779789,POINT (-93.78515790000002 41.0290323)
2011,20,CLARKE,1507839,977835,984850,235905,2243574,378657,867086,0,195814,793598,8185158,800000,0,8985158,POINT (-93.78515790000002 41.0290323)
2012,20,CLARKE,1525213,968655,1029483,252139,2786615,376009,889062,0,347107,589287,8763570,570339,0,9333909,POINT (-93.78515790000002 41.0290323)
2013,20,CLARKE,1561495,988682,612622,250817,2840867,401709,872496,0,397160,2539,7928387,540000,0,8468387,POINT (-93.78515790000002 41.0290323)
2014,20,CLARKE,1595656,920554,419420,232796,3074020,388652,899096,0,398916,10386,7939496,572948,0,8512444,POINT (-93.78515790000002 41.0290323)
2015,20,CLARKE,1776627,821741,173602,320981,4738644,522989,898245,0,402120,24703,9679652,560655,0,10240307,POINT (-93.78515790000002 41.0290323)
2016,20,CLARKE,1827847,922910,126528,283040,3048697,424443,1101514,0,255052,166513,8156544,581077,0,8737621,POINT (-93.78515790000002 41.0290323)
2017,20,CLARKE,2041626,971960,332225,287529,3619428,461039,1024027,0,257236,7175,9002245,631145,0,9633390,POINT (-93.78515790000002 41.0290323)
2018,20,CLARKE,2038839,863476,229236,333600,3439332,483682,1225858,0,594512,481877,9690412,808589,0,10499001,POINT (-93.78515790000002 41.0290323)
2019,20,CLARKE,2156661,866460,1107861,369953,3965492,488413,1194898,0,64913,594201,10808852,810914,0,11619766,POINT (-93.78515790000002 41.0290323)
2020,20,Clarke,2271002,903338,370992,363584,3634676,498584,1192067,0,52522,593028,9879793,770000,0,10649793,POINT (-93.78515790000002 41.0290323)
2021,20,Clarke,2339735,895156,327617,344680,3440403,552504,1126170,0,86064,248273,9360602,862646,0,10223248,POINT (-93.78515790000002 41.0290323)
2010,21,CLAY,2085449,424474,1471024,1124760,4493648,402058,1383266,0,220309,1501991,13106979,2210320,0,15317299,POINT (-95.1509194 43.0825804)
2011,21,CLAY,2362257,544125,1617889,1344413,4044735,412105,1560677,3236,722484,604212,13216133,1939621,0,15155754,POINT (-95.1509194 43.0825804)
2012,21,CLAY,2203791,516411,2057493,1318853,4333458,385070,1549794,7984,212359,2758985,15344198,2043279,0,17387477,POINT (-95.1509194 43.0825804)
2013,21,CLAY,2655252,582741,885110,1426873,4323981,520080,1599976,1785,641881,5378290,18015969,1820028,0,19835997,POINT (-95.1509194 43.0825804)
2014,21,CLAY,3328658,637912,886635,1491919,4242519,414893,1713507,0,501499,1000837,14218379,2002736,0,16221115,POINT (-95.1509194 43.0825804)
2015,21,CLAY,2749452,721513,1162259,2122490,4476329,408531,1791757,2598,503697,2191479,16130105,3327214,0,19457319,POINT (-95.1509194 43.0825804)
2016,21,CLAY,2867671,751313,350235,1491614,4936662,430659,1878092,161023,500848,1454143,14822260,2306230,0,17128490,POINT (-95.1509194 43.0825804)
2017,21,CLAY,2957840,639898,446411,1385258,5149336,453254,1829868,438977,523667,3062461,16886970,2488571,0,19375541,POINT (-95.1509194 43.0825804)
2018,21,CLAY,2964654,683319,403394,1550536,5426617,510685,2094094,0,486292,209580,14329171,1917427,0,16246598,POINT (-95.1509194 43.0825804)
2019,21,CLAY,3109597,691353,178050,1236205,5713029,526340,2158328,0,489157,443211,14545270,2651099,0,17196369,POINT (-95.1509194 43.0825804)
2020,21,Clay,3295286,685791,272359,1549320,6150873,601474,1973198,0,458594,1026355,16013250,2601117,0,18614367,POINT (-95.1509194 43.0825804)
2021,21,Clay,3423472,735281,354117,1282401,5418038,652925,2514651,15284,700135,1436498,16532802,3980752,0,20513554,POINT (-95.1509194 43.0825804)
2010,22,CLAYTON,2365694,608449,1651763,1134186,5389643,583646,1197288,0,272575,663276,13866520,1400000,0,15266520,POINT (-91.34143280000002 42.8447493)
2011,22,CLAYTON,2389573,709949,2051176,1145132,5987370,579570,1485111,0,285239,1433476,16066596,1400000,0,17466596,POINT (-91.34143280000002 42.8447493)
2012,22,CLAYTON,2539192,790240,2214086,1209522,5572802,610735,1380060,2198,271322,1493854,16084011,1400000,0,17484011,POINT (-91.34143280000002 42.8447493)
2013,22,CLAYTON,2600887,673202,1328088,1316351,6598107,657324,1319116,0,324274,2946692,17764041,1453683,0,19217724,POINT (-91.34143280000002 42.8447493)
2014,22,CLAYTON,2766655,670121,609626,1316120,7635188,672355,1500000,559,333895,1172330,16676849,1731096,0,18407945,POINT (-91.34143280000002 42.8447493)
2015,22,CLAYTON,2739020,694596,1012043,1233087,5658015,653233,1601284,0,336250,1568384,15495912,1674178,0,17170090,POINT (-91.34143280000002 42.8447493)
2016,22,CLAYTON,2835074,692739,916319,1238905,5542615,642533,1676358,1393,339032,1105134,14990102,1700000,0,16690102,POINT (-91.34143280000002 42.8447493)
2017,22,CLAYTON,2894103,506751,718763,1267488,7296920,661106,1688019,0,338000,1315409,16686559,1700000,0,18386559,POINT (-91.34143280000002 42.8447493)
2018,22,CLAYTON,2949293,460476,687012,1229582,7131937,720183,1872291,0,340498,2084197,17475469,1701309,0,19176778,POINT (-91.34143280000002 42.8447493)
2019,22,CLAYTON,3053103,468241,630105,1241173,6970157,665727,1818162,0,346455,1217970,16411093,1800538,0,18211631,POINT (-91.34143280000002 42.8447493)
2020,22,Clayton,3087440,453537,626231,1303285,6812739,644944,1678261,0,347853,371095,15325385,1750000,0,17075385,POINT (-91.34143280000002 42.8447493)
2021,22,Clayton,3228012,556508,532755,1322438,6222168,688085,1738285,895,89048,1503690,15881884,2000000,0,17881884,POINT (-91.34143280000002 42.8447493)
2010,23,CLINTON,6385075,1479860,7423695,1734405,4571823,1115212,3128724,69949,892958,2908703,29710404,1149025,0,30859429,POINT (-90.5319724 41.8980358)
2011,23,CLINTON,6866371,1568064,8075593,1765244,5597758,1082264,3310471,104352,1397099,8560305,38327521,4302905,0,42630426,POINT (-90.5319724 41.8980358)
2012,23,CLINTON,6946748,1380392,8846597,1954605,6720691,1151266,3222623,97948,1384547,3403138,35108555,2134617,0,37243172,POINT (-90.5319724 41.8980358)
2013,23,CLINTON,7604671,1370699,5385911,1934555,5638877,1189158,3474292,31926,1382837,753067,28765993,1573916,0,30339909,POINT (-90.5319724 41.8980358)
2014,23,CLINTON,7047516,1486870,2987716,2035997,6129905,1163287,4500338,4815,1374527,375018,27105989,1562699,0,28668688,POINT (-90.5319724 41.8980358)
2015,23,CLINTON,7220104,1476108,3562338,2022333,5903247,1567503,4535415,14935,1371047,673249,28346279,1951702,0,30297981,POINT (-90.5319724 41.8980358)
2016,23,CLINTON,7166147,1486120,3891802,1754017,6124185,1045020,3685639,14607,1371385,967362,27506284,1988306,0,29494590,POINT (-90.5319724 41.8980358)
2017,23,CLINTON,7626444,1380845,2927656,1781962,6355895,1112123,3571647,26284,1371208,3668328,29822392,3097547,0,32919939,POINT (-90.5319724 41.8980358)
2018,23,CLINTON,8101363,2007135,2209643,1845450,6970751,1183401,3826564,8691,3228932,10599038,39980968,2108776,0,42089744,POINT (-90.5319724 41.8980358)
2019,23,CLINTON,8558042,1964634,1633176,1864781,7155956,1225919,4910457,0,2917422,14580889,44811276,3978209,0,48789485,POINT (-90.5319724 41.8980358)
2020,23,Clinton,8454294,1743533,1814595,2199090,8118248,1179591,3867307,7659,2906356,3216455,33507128,2835699,0,36342827,POINT (-90.5319724 41.8980358)
2021,23,Clinton,9155923,1920173,1405106,1899013,7070739,1339651,3810811,20659,1828630,6224611,34675316,2128265,0,36803581,POINT (-90.5319724 41.8980358)
2010,24,CRAWFORD,1731896,2481249,1642501,998282,7674200,457888,1094240,0,245330,675405,17000991,1511488,0,18512479,POINT (-95.3819678 42.0372125)
2011,24,CRAWFORD,1802526,2475365,1599276,836642,6187061,493622,1151431,0,245370,1325221,16116514,1787000,0,17903514,POINT (-95.3819678 42.0372125)
2012,24,CRAWFORD,1811677,2452091,2104965,919788,7039065,507579,1159073,0,245060,586009,16825307,2042500,0,18867807,POINT (-95.3819678 42.0372125)
2013,24,CRAWFORD,1898959,2389636,880043,933185,6567503,517847,1170257,0,244260,264442,14866132,1963500,0,16829632,POINT (-95.3819678 42.0372125)
2014,24,CRAWFORD,1871513,2432477,624219,938674,6512525,541738,1180464,0,243155,243680,14588445,2734502,0,17322947,POINT (-95.3819678 42.0372125)
2015,24,CRAWFORD,1973327,2628341,932698,1163422,6786020,551669,1217638,0,246680,235752,15735547,2871061,0,18606608,POINT (-95.3819678 42.0372125)
2016,24,CRAWFORD,2176349,2480630,690656,1173096,7925799,634653,1305619,0,154543,1404491,17945836,2780973,0,20726809,POINT (-95.3819678 42.0372125)
2017,24,CRAWFORD,2363361,2633008,640589,1087095,7962686,674034,1367417,0,153242,498586,17380018,2885872,0,20265890,POINT (-95.3819678 42.0372125)
2018,24,CRAWFORD,2374934,2441602,641007,1060419,6988819,701820,1271923,0,156548,782110,16419182,3414518,0,19833700,POINT (-95.3819678 42.0372125)
2019,24,CRAWFORD,2550854,2404444,491218,997279,7911825,674750,1313475,0,154928,1029027,17527800,3842716,0,21370516,POINT (-95.3819678 42.0372125)
2020,24,Crawford,2718341,2229835,608672,1037138,8817934,649342,1484153,0,152903,268952,17967270,3382900,0,21350170,POINT (-95.3819678 42.0372125)
2021,24,Crawford,2701172,2305667,699092,1133573,8669679,657611,1522660,0,155540,884133,18729127,3604045,0,22333172,POINT (-95.3819678 42.0372125)
2010,25,DALLAS,6964083,2818531,3872191,2902207,5917634,1520862,1582369,33157,1624943,1860329,29096306,5903782,0,35000088,POINT (-94.0397374 41.6848862)
2011,25,DALLAS,7576420,2864796,4369045,3070941,6376989,1609758,1561340,37806,1659657,1416026,30542778,7536462,0,38079240,POINT (-94.0397374 41.6848862)
2012,25,DALLAS,7667046,2796512,4332427,3200307,7200421,1761236,1702607,16524,1731366,1644528,32052974,6363832,0,38416806,POINT (-94.0397374 41.6848862)
2013,25,DALLAS,7580467,2856598,2378150,2804004,7121558,1747309,1478805,92180,1718125,2675513,30452709,5118298,0,35571007,POINT (-94.0397374 41.6848862)
2014,25,DALLAS,8293087,2895725,2422654,2899400,8292269,1806849,1515793,72569,1815876,422020,30436242,4628761,0,35065003,POINT (-94.0397374 41.6848862)
2015,25,DALLAS,9386884,2992130,3604160,3424562,6320527,2297327,1915398,10411,1877459,2788458,34617316,5305071,0,39922387,POINT (-94.0397374 41.6848862)
2016,25,DALLAS,9745151,3176985,2736967,3264447,6647790,1984309,1661702,15136,4150450,9163146,42546083,6808990,0,49355073,POINT (-94.0397374 41.6848862)
2017,25,DALLAS,10347045,3331930,2811345,3272309,7103636,2155798,1604051,3340,2565973,4082792,37278219,6275563,0,43553782,POINT (-94.0397374 41.6848862)
2018,25,DALLAS,11984812,2662329,2762717,4548703,7361528,2245448,1792648,193051,2999604,7266688,43817528,8916442,5587161,58321131,POINT (-94.0397374 41.6848862)
2019,25,DALLAS,12290427,2107380,4196878,4655232,9592184,2147301,1973252,73114,4117248,13232345,54385361,6935542,0,61320903,POINT (-94.0397374 41.6848862)
2020,25,Dallas,13078493,1787660,3375381,2903897,10026252,2182266,1863090,113392,4133715,11235897,50700043,10437613,0,61137656,POINT (-94.0397374 41.6848862)
2021,25,Dallas,14236001,1854813,2790284,2952698,9907691,2354751,2031433,5149,2324065,4506926,42963811,13137413,0,56101224,POINT (-94.0397374 41.6848862)
2010,26,DAVIS,954041,204256,687696,330512,2800480,320587,945765,20389,0,146384,6410110,612436,0,7022546,POINT (-92.4097173 40.7476891)
2011,26,DAVIS,1020220,220699,695735,304660,3786370,315501,796920,11912,0,88999,7241016,622426,0,7863442,POINT (-92.4097173 40.7476891)
2012,26,DAVIS,1021633,313094,765715,338908,3779086,321668,868558,3532,67542,695478,8175214,570450,0,8745664,POINT (-92.4097173 40.7476891)
2013,26,DAVIS,1001627,340964,360256,387580,3577408,333607,763285,21829,163083,10000,6959639,643933,0,7603572,POINT (-92.4097173 40.7476891)
2014,26,DAVIS,1139706,325618,434027,425632,3341932,335689,780781,19510,173083,563000,7538978,675203,0,8214181,POINT (-92.4097173 40.7476891)
2015,26,DAVIS,1097687,273912,336926,433646,3365808,345899,809530,23205,173083,811692,7671388,754846,0,8426234,POINT (-92.4097173 40.7476891)
2016,26,DAVIS,1163971,289250,504433,411358,4825317,347102,794902,29719,31819,3025094,11422965,646741,0,12069706,POINT (-92.4097173 40.7476891)
2017,26,DAVIS,1223729,310193,230696,527488,4304492,364302,855492,31644,411190,5253263,13512489,775594,0,14288083,POINT (-92.4097173 40.7476891)
2018,26,DAVIS,1626169,283620,312904,426663,4767106,390191,1052638,17402,449712,540915,9867320,801300,0,10668620,POINT (-92.4097173 40.7476891)
2019,26,DAVIS,1774830,280128,535047,480479,4856126,395381,1039404,24519,401105,246473,10033492,900940,0,10934432,POINT (-92.4097173 40.7476891)
2020,26,Davis,1828951,284131,532630,741687,4703507,410200,1131012,33918,400905,1093967,11160908,914086,0,12074994,POINT (-92.4097173 40.7476891)
2021,26,Davis,1840825,388373,413045,420782,4739564,467616,1076202,67313,400605,954083,10768408,978265,0,11746673,POINT (-92.4097173 40.7476891)
2010,27,DECATUR,882762,1175316,1041612,367699,5224357,255543,593836,0,0,307244,9848369,556648,0,10405017,POINT (-93.7862815 40.7376827)
2011,27,DECATUR,971026,1245030,1029816,350637,2996264,271656,612387,0,0,106828,7583644,471753,0,8055397,POINT (-93.7862815 40.7376827)
2012,27,DECATUR,995561,1319221,325706,378234,2867086,250108,473529,0,250,246822,6856517,458000,0,7314517,POINT (-93.7862815 40.7376827)
2013,27,DECATUR,974567,1247627,688464,392935,3024063,262430,614052,1200,576455,124847,7906640,464424,0,8371064,POINT (-93.7862815 40.7376827)
2014,27,DECATUR,1594730,1245054,561543,398249,3417823,280888,809794,77894,6125,94150,8486250,648331,0,9134581,POINT (-93.7862815 40.7376827)
2015,27,DECATUR,1131394,1120774,608585,468586,3369048,280100,843002,0,249591,699821,8770901,556514,0,9327415,POINT (-93.7862815 40.7376827)
